Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Continent
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.612,-14.81,-3.422,-8.398,-16.393,-14.874,3.524,6.855,1.467,-0.1,1.555,4.353,3.326,3.887,3.221,Africa
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government gross debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.96,7.755,17.112,31.391,187.797,258.97,318.196,510.239,522.396,562.515,598.252,625.927,686.196,758.723,Africa
General government gross debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8.906,17.587,37.707,59.367,114.25,65.209,48.189,65.427,71.737,56.748,47.498,40.742,36.951,35.333,Africa
Current account balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.125,-1.793,-0.581,-0.003,-0.118,0.25,-0.108,-0.351,0.042,0.611,-0.422,-0.655,-0.627,-0.895,-0.859,Africa
Current account balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.182,-15.911,-3.89,-0.018,-0.799,7.135,-3.097,-7.531,0.851,14.62,-9.224,-13.159,-11.821,-15.789,-14.808,Africa
GDP,7827.613,8452.97,9038.043,9502.625,9972.946,10494.354,11041.108,11932.244,12978.272,14133.88,15200.204,16068.518,16519.928,16637.368,17342.609,18393.035,19139.038,20168.381,21232.421,22445.17,23904.637,25258.714,25939.783,26711.517,27848.439,29218.094,30844.618,32179.126,32558.746,31308.772,31593.848,31872.363,31724.63,32452.66,33544.355,34938.577,37350.761,39733.599,41608.067,43153.547,38143.189,41736.483,44185.087,46312.559,48315.673,49796.768,Europe
Implied PPP conversion rate,0.337,0.352,0.376,0.406,0.432,0.456,0.493,0.508,0.517,0.531,0.55,0.569,0.594,0.613,0.622,0.63,0.64,0.644,0.653,0.66,0.668,0.681,0.698,0.712,0.72,0.727,0.734,0.739,0.741,0.737,0.729,0.714,0.695,0.675,0.662,0.665,0.643,0.63,0.622,0.621,0.615,0.607,0.605,0.604,0.603,0.601,Europe
Total investment,22.829,22.344,22.13,21.467,19.819,20.269,20.885,22.13,24.027,25.41,25.683,24.954,22.979,20.989,20.906,21.978,21.787,22.15,23.54,25.211,26.64,26.459,26.684,27.503,28.285,29.387,30.565,30.442,28.455,23.303,22.303,20.572,18.436,17.216,17.902,18.996,18.753,19.428,20.375,20.849,20.271,20.8,20.856,21.049,21.473,21.286,Europe
Gross national savings,19.856,19.186,19.106,19.429,20.462,20.854,21.772,21.516,22.382,21.898,21.552,20.718,18.88,19.289,19.051,21.004,20.894,21.379,21.673,21.594,22.33,22.084,22.954,23.62,22.803,22.133,21.714,21.01,19.551,19.215,18.648,17.848,18.522,19.254,19.601,21.022,21.929,22.104,22.312,22.821,20.81,21.727,22.129,23.055,23.743,23.104,Europe
"Inflation, average consumer prices",19.831,22.716,25.991,29.155,32.443,35.303,38.408,40.424,42.379,45.257,48.299,51.166,54.821,57.326,60.031,62.837,65.098,66.32,67.489,68.998,71.402,73.965,76.261,78.579,80.967,83.694,86.636,89.051,92.68,92.414,94.077,97.084,99.458,100.859,100.707,100.203,100,101.956,103.664,104.389,104.153,104.976,106.434,108.122,109.877,111.739,Europe
"Inflation, average consumer prices",15.578,14.549,14.416,12.174,11.28,8.815,8.795,5.248,4.837,6.791,6.722,5.934,7.145,4.569,4.718,4.674,3.599,1.877,1.764,2.235,3.484,3.59,3.104,3.039,3.039,3.368,3.515,2.787,4.076,-0.288,1.8,3.196,2.446,1.409,-0.151,-0.5,-0.203,1.956,1.675,0.7,-0.226,0.79,1.389,1.586,1.623,1.694,Europe
"Inflation, end of period consumer prices",21.314,24.384,27.8,31.201,34.012,36.793,39.833,41.662,44.097,47.137,50.221,52.995,55.835,58.586,61.126,63.767,65.854,67.091,68.002,69.892,72.692,74.66,77.673,79.696,82.268,85.341,87.616,91.314,92.622,93.358,96.148,98.434,101.257,101.512,100.455,100.472,102.049,103.184,104.405,105.228,104.902,105.748,107.473,109.174,110.959,112.836,Europe
"Inflation, end of period consumer prices",15.191,14.399,14.009,12.235,9.009,8.178,8.261,4.593,5.844,6.893,6.542,5.524,5.36,4.926,4.336,4.32,3.273,1.879,1.358,2.778,4.007,2.707,4.036,2.605,3.227,3.735,2.666,4.221,1.432,0.795,2.988,2.378,2.868,0.252,-1.041,0.017,1.57,1.112,1.183,0.788,-0.309,0.806,1.632,1.582,1.635,1.692,Europe
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Volume of imports of goods and services,4.096,-3.606,4.926,-1.194,-1.334,7.545,17.189,24.787,16.087,17.712,9.624,10.339,6.823,-5.224,11.447,11.275,8.822,13.272,14.845,13.657,10.822,3.653,3.677,6.034,9.664,6.963,8.214,8.237,-5.506,-18.301,6.2,-0.595,-5.834,-0.216,6.798,5.078,2.65,6.644,3.284,1.229,-22.336,10.58,11.68,4.453,2.829,3.051,Europe
Volume of Imports of goods,4.437,-6.807,5.216,-1.425,-1.322,9.847,19.899,27.959,16.384,17.804,9.043,11.537,5.903,-7.115,15.485,13.227,8.086,13.429,14.618,13.2,10.268,3.289,4.107,6.769,10.562,6.758,7.869,9.287,-6.029,-19.256,8.195,-0.502,-5.728,0.611,6.597,5.075,1.718,6.506,1.922,-0.101,-19.789,10.795,10.942,3.447,1.68,2.363,Europe
Volume of exports of goods and services,0.789,11.283,5.573,9.613,12.036,0.669,0.23,5.269,3.815,1.428,4.694,8.252,7.503,7.839,16.67,8.31,10.318,14.99,8.018,7.479,10.244,3.938,1.431,3.565,4.306,1.89,4.73,7.599,-0.907,-10.839,9.064,8.176,0.93,4.384,4.523,4.316,5.372,5.612,2.194,2.561,-25.495,10.072,12.873,7.156,4.471,3.904,Europe
Volume of exports of goods,0.328,14.517,6.739,10.579,13.985,0.994,-5.22,6.622,5.627,5.83,10.437,11.318,7.057,10.362,20.272,9.519,10.69,16.415,6.729,6.217,10.126,3.388,2.879,4.835,5.846,0.088,3.475,10.08,-0.978,-11.429,11.753,8.773,0.926,6.291,3.843,3.91,4.235,5.066,2.125,1.019,-15.759,11.757,5.706,2.786,2.834,2.836,Europe
Unemployment rate,11.011,13.755,15.77,17.215,19.937,21.305,20.907,20.223,19.238,17.24,16.238,16.313,18.353,22.64,24.118,22.9,22.08,20.61,18.605,15.64,13.857,10.54,11.45,11.485,10.965,9.153,8.453,8.233,11.245,17.855,19.858,21.39,24.788,26.095,24.443,22.058,19.635,17.225,15.255,14.105,16.805,16.791,15.659,14.883,14.373,14.247,Europe
Employment,12.298,11.981,11.87,11.809,11.495,11.377,11.589,12.147,12.617,13.066,13.394,13.499,13.257,12.71,12.621,12.936,13.152,13.626,14.235,14.888,15.645,16.291,16.79,17.476,18.142,19.207,19.939,20.58,20.47,19.107,18.724,18.421,17.633,17.139,17.344,17.866,18.342,18.825,19.328,19.779,18.814,19.001,,,,,Europe
Population,37.656,38.014,38.217,38.397,38.55,38.686,38.798,38.888,38.971,39.048,39.117,39.221,39.35,39.473,39.579,39.672,39.764,39.869,40.008,40.215,40.554,40.766,41.424,42.196,42.859,43.663,44.361,45.236,45.983,46.368,46.562,46.736,46.766,46.593,46.455,46.41,46.399,46.408,46.449,46.486,46.492,46.535,46.735,46.927,47.107,47.276,Europe
General government revenue,27.98,32.76,38.213,46.308,52.09,61.173,71.137,83.195,92.434,108.983,121.694,136.635,153.192,158.802,164.643,171.852,180.938,195.317,213.065,230.469,245.833,266.085,287.233,304.862,332.795,368.278,407.149,442.491,409.092,373.779,391.622,387.37,390.992,395.858,404.594,417.176,424.78,443.531,471.002,486.754,421.595,478.144,505.536,528.915,550.536,545.425,Europe
General government revenue,28.994,29.785,30.241,32.105,32.227,33.957,34.628,36.282,36.338,38.202,38.263,39.14,40.753,40.533,39.639,38.428,38.184,38.759,39.494,39.74,37.946,37.958,38.321,38,38.722,39.713,40.56,41.141,36.87,34.955,36.508,36.415,37.92,38.796,39.199,38.714,38.137,38.174,39.179,39.086,38.634,40.526,40.454,40.286,40.134,38.523,Europe
General government total expenditure,29.991,35.467,45.334,53.305,61.054,73.778,83.672,90.93,101.337,117.759,134.46,153.086,169.69,186.583,191.639,203.119,209.619,215.345,227.659,237.851,253.353,269.274,289.607,307.871,333.613,356.857,385.827,422.204,459.823,494.355,493.815,490.976,501.688,467.649,465.65,472.962,472.733,478.669,501.497,521.949,575.375,566.778,578.528,591.049,604.432,607.337,Europe
General government total expenditure,31.077,32.246,35.876,36.956,37.772,40.953,40.73,39.655,39.839,41.278,42.277,43.853,45.142,47.624,46.138,45.42,44.237,42.734,42.199,41.013,39.107,38.413,38.637,38.375,38.818,38.481,38.436,39.255,41.443,46.231,46.034,46.155,48.656,45.832,45.114,43.891,42.442,41.198,41.715,41.912,52.727,48.038,46.295,45.018,44.063,42.896,Europe
General government net lending/borrowing,-2.011,-2.707,-7.121,-6.997,-8.963,-12.604,-12.535,-7.735,-8.903,-8.776,-12.767,-16.451,-16.499,-27.781,-26.995,-31.267,-28.681,-20.028,-14.594,-7.382,-7.52,-3.189,-2.374,-3.009,-0.818,11.421,21.322,20.287,-50.731,-120.576,-102.193,-103.606,-110.696,-71.791,-61.056,-55.786,-47.953,-35.138,-30.495,-35.195,-153.78,-88.634,-72.992,-62.134,-53.896,-61.912,Europe
General government net lending/borrowing,-2.084,-2.461,-5.635,-4.851,-5.545,-6.997,-6.102,-3.373,-3.5,-3.076,-4.014,-4.713,-4.389,-7.091,-6.499,-6.992,-6.053,-3.974,-2.705,-1.273,-1.161,-0.455,-0.317,-0.375,-0.095,1.232,2.124,1.886,-4.572,-11.276,-9.527,-9.74,-10.736,-7.036,-5.915,-5.177,-4.305,-3.024,-2.537,-2.826,-14.092,-7.512,-5.841,-4.733,-3.929,-4.373,Europe
General government structural balance,-4.905,-3.011,-11.939,-9.825,-10.861,-16.096,-13.486,-8.954,-13.889,-17.614,-19.679,-23.482,-19.077,-19.684,-21.657,-17.938,-11.197,-6.207,-9.338,-5.844,-9.244,-8.433,-7.903,-9.675,-9.982,-3.095,-0.79,-7.736,-70.337,-108.3,-85.953,-75.671,-31.466,-20.305,-14.465,-25.324,-29.792,-29.141,-28.237,-38.704,-88.343,-51.399,-54.239,-56.841,-58.463,-66.21,Europe
General government structural balance,,,,,,,,,,,,,,,,-3.667,-2.159,-1.14,-1.627,-0.966,-1.434,-1.22,-1.069,-1.224,-1.184,-0.343,-0.082,-0.754,-6.547,-9.913,-7.777,-6.811,-2.827,-1.816,-1.295,-2.242,-2.606,-2.486,-2.353,-3.128,-7.283,-4.126,-4.231,-4.299,-4.284,-4.697,Europe
General government primary net lending/borrowing,-2.006,-2.705,-7.158,-6.647,-7.515,-8.683,-6.93,-2.315,-2.193,-0.998,-3.533,-5.586,-2.579,-10.272,-9.76,-10.968,-6.612,1.122,5.61,11.041,10.662,14.262,14.59,13.145,14.242,25.204,33.919,31.827,-39.22,-106.476,-85.819,-82.691,-84.447,-41.938,-30.7,-27.639,-20.823,-8.613,-3.753,-9.416,-127.788,-60.031,-42.783,-31.29,-22.646,-29.407,Europe
General government primary net lending/borrowing,-2.078,-2.46,-5.665,-4.608,-4.649,-4.82,-3.373,-1.01,-0.862,-0.35,-1.111,-1.6,-0.686,-2.622,-2.35,-2.453,-1.395,0.223,1.04,1.904,1.646,2.035,1.946,1.638,1.657,2.718,3.379,2.959,-3.535,-9.957,-8,-7.773,-8.19,-4.11,-2.974,-2.565,-1.869,-0.741,-0.312,-0.756,-11.71,-5.088,-3.424,-2.383,-1.651,-2.077,Europe
General government net debt,,,,,,44.683,57.201,65.187,73.88,81.511,93.36,107.222,125.017,149.479,181.678,246.779,279.008,295.95,303.149,305.1,306.164,311.648,307.546,309.302,308.397,295.118,268.976,241.388,282.091,391.378,493.357,599.805,739.91,824.831,879.377,915.222,958.695,981.783,994.378,1012.882,1166.662,1255.296,1328.288,1390.422,1444.318,1506.23,Europe
General government net debt,,,,,,24.803,27.844,28.428,29.044,28.572,29.355,30.715,33.258,38.153,43.74,55.183,58.88,58.729,56.191,52.609,47.258,44.458,41.031,38.554,35.884,31.824,26.795,22.443,25.424,36.601,45.992,56.385,71.759,80.838,85.198,84.932,86.071,84.5,82.714,81.334,106.912,106.395,106.293,105.904,105.291,106.384,Europe
General government gross debt,15.997,22.017,31.769,43.817,59.926,75.769,88.955,98.919,100.796,117.061,135.2,150.409,170.738,220.028,243.746,283.457,319.976,333.627,346.417,362.223,374.557,378.883,384.145,382.775,389.888,393.479,392.132,384.662,440.621,569.535,649.153,743.043,889.909,977.312,1039.388,1070.079,1104.554,1145.097,1173.348,1188.862,1342.642,1431.276,1504.268,1566.402,1620.298,1682.21,Europe
General government gross debt,16.577,20.017,25.141,30.378,37.075,42.059,43.301,43.139,39.626,41.033,42.51,43.086,45.421,56.16,58.683,63.384,67.526,66.206,64.212,62.459,57.815,54.05,51.25,47.712,45.366,42.43,39.064,35.765,39.712,53.261,60.515,69.85,86.307,95.782,100.7,99.303,99.166,98.556,97.601,95.466,123.038,121.31,120.375,119.308,118.12,118.813,Europe
Current account balance,-5.3,-5.113,-4.704,-2.455,2.086,2.088,3.677,-0.037,-3.685,-11.508,-18.054,-20.055,-21.424,-10.509,-11.496,-7.68,-5.5,-4.286,-10.421,-20.587,-25.801,-27.47,-26.417,-35.229,-58.579,-83.74,-111.57,-139.047,-145.274,-60.907,-52.028,-40.321,1.139,27.624,23.307,24.223,39.14,35.105,27.512,27.489,6.72,13.446,19.762,32.862,38.948,32.216,Europe
Current account balance,-2.297,-2.499,-2.38,-1.42,1.21,1.149,1.463,-0.012,-0.985,-2.789,-3.37,-3.479,-3.4,-1.985,-2.164,-1.251,-0.859,-0.727,-1.685,-3.237,-4.31,-4.375,-3.73,-3.883,-5.482,-7.254,-8.851,-9.432,-8.903,-4.088,-3.656,-2.724,0.086,2.038,1.699,2.026,3.176,2.675,1.937,1.972,0.539,0.927,1.273,2.005,2.271,1.818,Europe
GDP,1051.413,1196.251,1320.017,1400.834,1532.509,1643.188,1730.897,1781.733,1875.523,1972.995,2151.33,2435.252,2385.333,2596.903,2838.61,3048.442,3458.117,3857.844,3817.598,3963.227,4366.493,4345.003,4543.098,4862.547,5222.616,5676.876,6250.565,6806.071,7301.517,7568.5,8219.98,9044.749,10315.18,10852.064,11260.65,11559.693,12224.216,12584.104,13173.483,13631.179,13113.611,14023.384,14889.536,15767.076,16714.342,17747.941,Asia
Implied PPP conversion rate,5.079,5.334,5.574,6.361,7.274,7.095,7.371,7.772,8.249,8.809,10.216,10.318,11.895,12.7,13.342,14.209,14.31,14.783,16.996,17.692,18.151,20.271,21.624,22.323,23.651,25.326,27.354,30.376,34.661,36.421,38.63,39.289,41.447,42.939,44.298,45.183,46.283,49.39,50.325,50.525,52.164,53.435,55.126,56.825,58.546,60.294,Asia
Total investment,44.622,27.353,29.016,24.382,23.571,22.084,21.501,21.203,22.089,20.572,25.938,25.902,31.543,30.025,31.499,30.518,30.116,26.923,27.36,28.445,29.277,23.282,23.895,23.197,26.336,28.026,30.207,30.213,29.698,28.411,30.352,33.364,39.056,33.249,32.31,31.181,27.852,31.595,30.435,27.388,24.393,29.096,30.22,30.225,30.144,30.024,Asia
Gross national savings,26.356,13.22,13.519,15.305,21.615,15.012,12.958,13.822,12.965,12.579,21.957,19.921,26.583,24.918,24.383,23.788,24.626,23.954,25.447,24.821,23.773,22.318,22.691,22.857,23.595,25.859,25.573,26.431,21.362,27.964,28.457,26.294,33.238,29.831,29.803,28.846,25.737,28.953,27.274,25.236,20.764,25.857,27.657,27.789,27.79,27.627,Asia
"Inflation, average consumer prices",4.123,4.863,5.39,6.142,7.164,7.271,7.85,8.456,9.639,10.755,13.066,14.658,16.327,18.245,19.786,21.305,24.7,27.063,29.599,30.988,32.902,37.56,41.148,44.838,48.879,54.247,59.683,69.138,75.8,78.4,83.3,88.9,95.6,102.233,105.058,107.408,111.692,119.042,124.125,129.467,135.506,141.807,148.756,156.194,164.003,172.203,Asia
"Inflation, average consumer prices",26.145,17.969,10.826,13.964,16.638,1.481,7.976,7.717,13.992,11.568,21.495,12.186,11.383,11.747,8.448,7.675,15.937,9.565,9.371,4.692,6.176,14.158,9.551,8.969,9.011,10.983,10.02,15.842,9.636,3.43,6.25,6.723,7.537,6.939,2.763,2.237,3.988,6.581,4.27,4.303,4.665,4.65,4.9,5,5,5,Asia
"Inflation, end of period consumer prices",3.792,4.485,4.727,5.74,6.284,6.377,6.956,7.663,8.815,10.146,12.137,13.231,15.059,16.613,17.312,19.305,22.549,24.971,25.901,26.933,29.852,33.081,36.815,41.3,46.7,50.2,56.9,67.6,77,80.9,86.4,90.6,99,103.6,105,109.8,114.7,122.9,126.3,132.4,138.358,144.999,152.249,159.862,167.855,176.247,Asia
"Inflation, end of period consumer prices",24.672,18.27,5.388,21.435,9.482,1.482,9.074,10.167,15.03,15.103,19.622,9.015,13.815,10.32,4.21,11.512,16.801,10.741,3.724,3.984,10.837,10.817,11.289,12.182,13.075,7.495,13.347,18.805,13.905,5.065,6.799,4.861,9.272,4.646,1.351,4.571,4.463,7.149,2.766,4.83,4.5,4.8,5,5,5,5,Asia
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Volume of imports of goods and services,16.562,-10.227,0,10.127,3.448,11.111,1,--,-4.95,-6.25,5.6,13.2,15.7,17.1,12.2,2.662,0.338,12.36,8.5,0.184,12.971,4.971,-11.833,9.876,20.171,-4.141,7.62,-1.846,8.837,-27.574,16.52,35.261,-18.905,1.923,11.954,15.394,7.054,3.396,0.429,-8.546,-13.274,24.102,10.777,5.016,4.657,4.485,Asia
Volume of Imports of goods,14.031,-10.227,--,10.127,3.448,11.111,1,--,-4.95,-6.25,5.6,13.2,15.7,17.1,12.2,2.662,0.338,12.36,8.5,0.184,12.971,4.971,-11.833,9.876,20.171,-4.141,7.62,-1.846,8.837,-27.574,16.52,35.261,-18.905,1.923,11.954,15.394,7.054,3.396,0.429,-8.546,-13.274,24.102,10.777,5.016,4.657,4.485,Asia
Volume of exports of goods and services,4.425,4.054,5.195,-4.938,16.883,11.111,5,-0.952,-2.885,1.98,16.5,1.2,4,14.3,9.4,7.16,4.147,10.619,-1.5,5.076,18.261,11.345,-13.515,8.383,7.7,-0.582,4.666,2.31,-2.271,-16.346,13.791,-11.016,-8.296,16.476,13.446,3.56,9.449,4.234,6.176,-2.264,-19.91,33.077,15.231,5.313,4.427,4.304,Asia
Volume of exports of goods,-0.994,4.054,5.195,-4.938,16.883,11.111,5,-0.952,-2.885,1.98,16.5,1.2,4,14.3,9.4,7.16,4.147,10.619,-1.5,5.076,18.261,11.345,-13.515,8.383,7.7,-0.582,4.666,2.31,-2.271,-16.346,13.791,-11.016,-8.296,16.476,13.446,3.56,9.449,4.234,6.176,-2.264,-19.91,33.077,15.231,5.313,4.427,4.304,Asia
Unemployment rate,,,,,,,,,,,15.897,14.665,14.566,13.777,13.127,12.267,11.294,10.501,9.174,8.857,7.573,7.9,8.8,8.4,8.3,7.7,6.6,6.2,6,5.9,5,4.1,4,4.4,4.3,4.7,4.4,4.2,4.4,4.8,8.35,7,5.5,4.4,4.4,4.4,Asia
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Population,15.557,15.767,15.965,16.152,16.325,16.486,16.649,16.815,16.984,17.155,17.33,17.54,17.741,17.929,18.098,18.247,18.372,18.477,18.571,18.669,18.782,18.913,19.059,19.215,19.373,19.525,19.67,19.811,19.946,20.075,20.198,20.315,20.425,20.585,20.771,20.966,21.203,21.444,21.67,21.803,21.937,22.071,22.207,22.343,22.48,22.618,Asia
General government revenue,,,,,,,,,,,74.662,84.049,94.06,106.364,118.295,144.236,152.292,170.958,181.69,201.97,214.719,239.798,268.969,284.422,320.154,412.388,507.901,595.558,686.481,725.567,834.191,983.005,1067.533,1153.306,1204.621,1460.892,1693.557,1839.562,1932.459,1898.808,1388.764,1775.929,2108.96,2353.193,2644.506,2958.922,Asia
General government revenue,,,,,,,,,,,19.603,19.071,18.686,17.988,17.259,18.248,16.75,16.224,15.079,15.429,14.424,14.395,14.365,13.637,13.379,14.691,15.102,14.541,13.599,13.112,13.006,13.617,12.225,12.023,11.626,13.341,14.118,13.802,13.452,12.645,9.255,10.738,11.57,11.755,12.021,12.225,Asia
General government total expenditure,,,,,,,,,,,99.814,120.369,119.824,141.659,170.764,202.327,217.066,233.158,266.205,277.529,334.398,385.824,402.6,417.064,476.548,584.55,713.474,841.454,995.91,1201.927,1280.206,1433.181,1556.497,1650.696,1850.239,2228.82,2333.883,2573.056,2693.228,3127.291,2833.668,3114.426,3501.569,3899.737,4300.807,4748.005,Asia
General government total expenditure,,,,,,,,,,,26.206,27.312,23.804,23.957,24.914,25.598,23.875,22.126,22.093,21.201,22.464,23.161,21.502,19.996,19.915,20.824,21.214,20.545,19.729,21.72,19.961,19.853,17.824,17.209,17.857,20.353,19.455,19.305,18.747,20.826,18.884,18.831,19.21,19.481,19.55,19.617,Asia
General government net lending/borrowing,,,,,,,,,,,-25.152,-36.32,-25.764,-35.295,-52.469,-58.091,-64.774,-62.2,-84.515,-75.559,-119.679,-146.026,-133.631,-132.642,-156.394,-172.162,-205.573,-245.896,-309.429,-476.36,-446.015,-450.176,-488.964,-497.39,-645.618,-767.928,-640.326,-733.494,-760.769,-1228.483,-1444.904,-1338.497,-1392.609,-1546.544,-1656.301,-1789.083,Asia
General government net lending/borrowing,,,,,,,,,,,-6.604,-8.241,-5.118,-5.969,-7.655,-7.35,-7.124,-5.903,-7.014,-5.772,-8.04,-8.766,-7.137,-6.359,-6.536,-6.133,-6.112,-6.004,-6.13,-8.608,-6.954,-6.236,-5.599,-5.185,-6.231,-7.013,-5.338,-5.503,-5.296,-8.181,-9.629,-8.093,-7.64,-7.726,-7.529,-7.392,Asia
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government primary net lending/borrowing,,,,,,,,,,,-4.484,-14.247,0.176,-5.092,-14.438,-19.865,-15.851,-6.954,-29.617,-13.436,-48.479,-51.719,-17.116,-7.516,-36.612,-52.003,-54.796,-63.215,-96.954,-166.684,-93.423,-93.477,-80.466,-53.383,-209.223,-240.701,-29.431,2.072,91.421,-327.13,-481.236,-240.704,-195.568,-188.841,-148.935,-114.536,Asia
General government primary net lending/borrowing,,,,,,,,,,,-1.177,-3.233,0.035,-0.861,-2.106,-2.513,-1.743,-0.66,-2.458,-1.026,-3.257,-3.105,-0.914,-0.36,-1.53,-1.853,-1.629,-1.543,-1.921,-3.012,-1.457,-1.295,-0.921,-0.557,-2.019,-2.198,-0.245,0.016,0.636,-2.179,-3.207,-1.455,-1.073,-0.943,-0.677,-0.473,Asia
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government gross debt,,,,,,,,,,,310.78,366.698,405.558,483.909,551.906,635.696,716.388,764.071,924.699,1051.331,1218.7,1452.706,1863.851,1863.851,2139.526,2222.353,2582.649,3041.785,3588.961,4161.424,4590.245,5133.365,6078.561,6884.823,7482.471,8594.799,9478.875,10382.832,12034.293,13031.116,14744.066,16256.947,17827.723,19554.831,21394.254,23368.66,Asia
General government gross debt,,,,,,,,,,,81.596,83.204,80.567,81.838,80.52,80.427,78.795,72.509,76.743,80.312,81.87,87.205,99.545,89.362,89.412,79.169,76.791,74.268,71.099,75.2,71.57,71.108,69.609,71.776,72.217,78.487,79.016,77.902,83.769,86.781,98.255,98.295,97.807,97.683,97.253,96.55,Asia
Current account balance,-0.848,-0.672,-0.794,-0.47,-0.054,-0.422,-0.564,-0.496,-0.665,-0.578,-0.377,-0.62,-0.554,-0.61,-0.981,-0.985,-0.881,-0.531,-0.353,-0.672,-1.066,-0.179,-0.236,-0.074,-0.648,-0.605,-1.5,-1.401,-3.885,-0.215,-1.075,-4.615,-3.981,-2.539,-1.988,-1.882,-1.744,-2.309,-2.784,-1.808,-2.944,-2.808,-2.389,-2.434,-2.523,-2.762,Asia
Current account balance,-16.88,-12.855,-14.074,-7.722,-0.756,-5.968,-7.443,-6.297,-8.074,-6.988,-3.981,-5.981,-4.96,-5.107,-7.116,-6.73,-5.49,-2.968,-1.913,-3.624,-5.504,-0.963,-1.204,-0.34,-2.74,-2.167,-4.634,-3.781,-8.336,-0.447,-1.896,-7.07,-5.818,-3.419,-2.506,-2.336,-2.116,-2.641,-3.15,-2.152,-3.629,-3.239,-2.563,-2.436,-2.353,-2.397,Asia
GDP,3121.444,3527.609,3994.687,4086.914,4669.927,5162.048,5775.028,6460.792,7435.767,8231.076,9008.851,9483.414,9913.923,10574.696,11242.614,11732.266,12511.023,13511.881,13657.128,14237.752,15776.333,16750.85,17008.174,16408.207,17280.408,19295.593,20256.233,20684.486,22133.303,21166.306,21051.573,21647.972,20382.113,20969.604,22629.785,22562.678,23464.717,23818.758,24849.939,25749.434,21028.058,22977.293,24584.836,25941.795,26872.55,27852.289,America
Implied PPP conversion rate,1.158,1.232,1.249,1.209,1.24,1.259,1.333,1.375,1.426,1.441,1.489,1.399,1.467,1.482,1.539,1.569,1.553,1.601,1.633,1.644,1.588,1.606,1.636,1.633,1.651,1.575,1.745,1.807,1.821,1.875,1.895,1.961,2.016,2.034,2.035,2.035,2.038,2.04,1.962,1.977,1.958,1.938,1.951,1.954,1.956,1.957,America
Total investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.819,24.883,30,30,30,30,30,30,30,30,30,28,America
Gross national savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.918,16.226,17.269,18.794,24.262,27.905,8.99,10.007,13.334,15.419,17.25,15.596,America
"Inflation, average consumer prices",38.613,41.918,44.422,45.413,46.652,47.895,47.881,48.33,48.441,50.928,53.067,55.296,56.865,57.883,58.709,60.471,61.709,67.063,69.533,71.863,73.38,74.948,76.506,78.241,80.001,82.7,89.719,93.74,98.708,100.739,101.597,107.525,108.403,109.603,109.874,107.345,106.607,107.348,106.236,106.046,106.774,107.982,109.735,111.894,114.095,116.34,America
"Inflation, average consumer prices",19.332,8.559,5.975,2.23,2.727,2.666,-0.029,0.937,0.23,5.133,4.2,4.201,2.837,1.791,1.427,3,2.048,8.675,3.684,3.351,2.11,2.138,2.078,2.268,2.25,3.374,8.487,4.481,5.3,2.058,0.851,5.835,0.816,1.107,0.248,-2.302,-0.688,0.696,-1.036,-0.179,0.687,1.131,1.623,1.967,1.967,1.967,America
"Inflation, end of period consumer prices",,,,,,,,,,52.084,54.009,56.484,57.309,58.107,58.877,60.389,62.287,69.354,69.959,71.444,73.671,75.587,76.984,79.212,80.556,85.422,92.19,94.819,100.963,102.157,106.54,108.71,109.26,109.93,109.33,106.71,106.74,107.547,106.741,107.158,108.212,109.596,111.752,113.951,116.193,118.479,America
